station,year,month,date,filename
2023,01,01,FOP1,FOP120230101_120050_V06
2023,01,01,FOP1,FOP120230101_120759_V06
2023,01,01,FOP1,FOP120230101_121456_V06
2023,01,01,FOP1,FOP120230101_122205_V06
2023,01,01,FOP1,FOP120230101_122914_V06
2023,01,01,FOP1,FOP120230101_123624_V06
2023,01,01,FOP1,FOP120230101_124321_V06
2023,01,01,FOP1,FOP120230101_125030_V06
2023,01,01,FOP1,FOP120230101_125739_V06
2023,01,01,FOP1,FOP120230101_125739_V06_MDM
2023,01,01,FOP1,FOP120230101_130448_V06
2023,01,01,FOP1,FOP120230101_131149_V06
2023,01,01,FOP1,FOP120230101_131858_V06
2023,01,01,FOP1,FOP120230101_132601_V06
2023,01,01,FOP1,FOP120230101_133309_V06
2023,01,01,FOP1,FOP120230101_134005_V06
2023,01,01,FOP1,FOP120230101_134708_V06
2023,01,01,FOP1,FOP120230101_135406_V06
2023,01,01,FOP1,FOP120230101_135406_V06_MDM
2023,01,01,FOP1,FOP120230101_140104_V06
2023,01,01,FOP1,FOP120230101_140756_V06
2023,01,01,FOP1,FOP120230101_141453_V06
2023,01,01,FOP1,FOP120230101_142203_V06
2023,01,01,FOP1,FOP120230101_142905_V06
2023,01,01,FOP1,FOP120230101_143601_V06
2023,01,01,FOP1,FOP120230101_144249_V06
2023,01,01,FOP1,FOP120230101_144946_V06
2023,01,01,FOP1,FOP120230101_145648_V06
2023,01,01,FOP1,FOP120230101_145648_V06_MDM
2023,01,01,FOP1,FOP120230101_150341_V06
2023,01,01,FOP1,FOP120230101_151033_V06
2023,01,01,FOP1,FOP120230101_151721_V06
2023,01,01,FOP1,FOP120230101_152419_V06
2023,01,01,FOP1,FOP120230101_153108_V06
2023,01,01,FOP1,FOP120230101_153807_V06
2023,01,01,FOP1,FOP120230101_154503_V06
2023,01,01,FOP1,FOP120230101_155157_V06
2023,01,01,FOP1,FOP120230101_155855_V06
2023,01,01,FOP1,FOP120230101_155855_V06_MDM
2023,01,01,FOP1,FOP120230101_160553_V06
2023,01,01,FOP1,FOP120230101_161245_V06
2023,01,01,FOP1,FOP120230101_161938_V06
2023,01,01,FOP1,FOP120230101_162628_V06
2023,01,01,FOP1,FOP120230101_163317_V06
2023,01,01,FOP1,FOP120230101_164006_V06
2023,01,01,FOP1,FOP120230101_164659_V06
2023,01,01,FOP1,FOP120230101_165348_V06
2023,01,01,FOP1,FOP120230101_165348_V06_MDM
2023,01,01,FOP1,FOP120230101_170057_V06
2023,01,01,FOP1,FOP120230101_170754_V06
2023,01,01,FOP1,FOP120230101_171455_V06
2023,01,01,FOP1,FOP120230101_172152_V06
2023,01,01,FOP1,FOP120230101_172845_V06
2023,01,01,FOP1,FOP120230101_173548_V06
2023,01,01,FOP1,FOP120230101_174241_V06
2023,01,01,FOP1,FOP120230101_174937_V06
2023,01,01,FOP1,FOP120230101_175626_V06
2023,01,01,FOP1,FOP120230101_175626_V06_MDM
2023,01,01,FOP1,FOP120230101_180315_V06
2023,01,01,FOP1,FOP120230101_181120_V06
2023,01,01,FOP1,FOP120230101_181821_V06
2023,01,01,FOP1,FOP120230101_182518_V06
2023,01,01,FOP1,FOP120230101_183207_V06
2023,01,01,FOP1,FOP120230101_183915_V06
2023,01,01,FOP1,FOP120230101_184607_V06
2023,01,01,FOP1,FOP120230101_185257_V06
2023,01,01,FOP1,FOP120230101_185950_V06
2023,01,01,FOP1,FOP120230101_185950_V06_MDM
2023,01,01,FOP1,FOP120230101_190652_V06
2023,01,01,FOP1,FOP120230101_191341_V06
2023,01,01,FOP1,FOP120230101_192049_V06
2023,01,01,FOP1,FOP120230101_192745_V06
2023,01,01,FOP1,FOP120230101_193442_V06
2023,01,01,FOP1,FOP120230101_194139_V06
2023,01,01,FOP1,FOP120230101_194831_V06
2023,01,01,FOP1,FOP120230101_195524_V06
2023,01,01,FOP1,FOP120230101_195524_V06_MDM
2023,01,01,FOP1,FOP120230101_200221_V06
2023,01,01,FOP1,FOP120230101_200910_V06
2023,01,01,FOP1,FOP120230101_201602_V06
2023,01,01,FOP1,FOP120230101_202255_V06
2023,01,01,FOP1,FOP120230101_202952_V06
2023,01,01,FOP1,FOP120230101_203645_V06
2023,01,01,FOP1,FOP120230101_204339_V06
2023,01,01,FOP1,FOP120230101_205026_V06
2023,01,01,FOP1,FOP120230101_205719_V06
2023,01,01,FOP1,FOP120230101_205719_V06_MDM
2023,01,01,FOP1,FOP120230101_210416_V06
2023,01,01,FOP1,FOP120230101_211108_V06
2023,01,01,FOP1,FOP120230101_211816_V06
2023,01,01,FOP1,FOP120230101_212525_V06
2023,01,01,FOP1,FOP120230101_213219_V06
2023,01,01,FOP1,FOP120230101_213916_V06
2023,01,01,FOP1,FOP120230101_214604_V06
2023,01,01,FOP1,FOP120230101_215251_V06
2023,01,01,FOP1,FOP120230101_215941_V06
2023,01,01,FOP1,FOP120230101_215941_V06_MDM
2023,01,01,FOP1,FOP120230101_220639_V06
2023,01,01,FOP1,FOP120230101_221332_V06
2023,01,01,FOP1,FOP120230101_222040_V06
2023,01,01,FOP1,FOP120230101_222748_V06
2023,01,01,FOP1,FOP120230101_223436_V06
2023,01,01,FOP1,FOP120230101_224133_V06
2023,01,01,FOP1,FOP120230101_224820_V06
2023,01,01,FOP1,FOP120230101_225514_V06
2023,01,01,FOP1,FOP120230101_225514_V06_MDM
2023,01,01,FOP1,FOP120230101_230223_V06
2023,01,01,FOP1,FOP120230101_230911_V06
2023,01,01,FOP1,FOP120230101_231558_V06
2023,01,01,FOP1,FOP120230101_232254_V06
2023,01,01,FOP1,FOP120230101_232951_V06
2023,01,01,FOP1,FOP120230101_233648_V06
2023,01,01,FOP1,FOP120230101_234344_V06
2023,01,01,FOP1,FOP120230101_235031_V06
2023,01,01,FOP1,FOP120230101_235719_V06
2023,01,01,FOP1,FOP120230101_235719_V06_MDM
2023,01,01,KABR,KABR20230101_000142_V06
2023,01,01,KABR,KABR20230101_000825_V06
2023,01,01,KABR,KABR20230101_001508_V06
2023,01,01,KABR,KABR20230101_002151_V06
2023,01,01,KABR,KABR20230101_002834_V06
2023,01,01,KABR,KABR20230101_003517_V06
2023,01,01,KABR,KABR20230101_004201_V06
