[2023-03-03T20:04:21.699+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010041170_e20230010043544_c20230010044021.nc
[2023-03-03T20:04:21.700+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010046170_e20230010048547_c20230010049037.nc
[2023-03-03T20:04:21.700+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010051170_e20230010053546_c20230010054018.nc
[2023-03-03T20:04:21.700+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010056170_e20230010058547_c20230010059020.nc
[2023-03-03T20:04:21.701+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010001170_e20230010003550_c20230010004042.nc
[2023-03-03T20:04:21.701+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010006170_e20230010008550_c20230010009025.nc
[2023-03-03T20:04:21.701+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010011170_e20230010013549_c20230010014038.nc
[2023-03-03T20:04:21.702+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010016170_e20230010018549_c20230010019029.nc
[2023-03-03T20:04:21.702+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010021170_e20230010023549_c20230010024030.nc
[2023-03-03T20:04:21.702+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010026170_e20230010028549_c20230010028588.nc
[2023-03-03T20:04:21.703+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010031170_e20230010033549_c20230010034003.nc
[2023-03-03T20:04:21.703+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010036170_e20230010038549_c20230010039004.nc
[2023-03-03T20:04:21.703+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010041170_e20230010043549_c20230010043591.nc
[2023-03-03T20:04:21.704+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010046170_e20230010048549_c20230010049039.nc
[2023-03-03T20:04:21.704+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010051170_e20230010053550_c20230010053580.nc
[2023-03-03T20:04:21.705+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010056170_e20230010058551_c20230010058594.nc
[2023-03-03T20:04:21.705+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010001170_e20230010003556_c20230010003594.nc
[2023-03-03T20:04:21.706+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010006170_e20230010008556_c20230010008591.nc
[2023-03-03T20:04:21.706+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010011170_e20230010013555_c20230010013592.nc
[2023-03-03T20:04:21.706+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010016170_e20230010018555_c20230010019005.nc
[2023-03-03T20:04:21.707+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010021170_e20230010023555_c20230010024037.nc
[2023-03-03T20:04:21.707+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010026170_e20230010028556_c20230010028591.nc
[2023-03-03T20:04:21.707+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010031170_e20230010033555_c20230010034027.nc
[2023-03-03T20:04:21.708+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010036170_e20230010038555_c20230010039019.nc
[2023-03-03T20:04:21.708+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010041170_e20230010043557_c20230010044002.nc
[2023-03-03T20:04:21.708+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010046170_e20230010048556_c20230010049013.nc
[2023-03-03T20:04:21.709+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010051170_e20230010053555_c20230010054003.nc
[2023-03-03T20:04:21.709+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C07_G18_s20230010056170_e20230010058557_c20230010058597.nc
[2023-03-03T20:04:21.709+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010001170_e20230010003543_c20230010004004.nc
[2023-03-03T20:04:21.710+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010006170_e20230010008543_c20230010009038.nc
[2023-03-03T20:04:21.710+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010011170_e20230010013543_c20230010014033.nc
[2023-03-03T20:04:21.711+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010016170_e20230010018543_c20230010019010.nc
[2023-03-03T20:04:21.711+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010021170_e20230010023543_c20230010024005.nc
[2023-03-03T20:04:21.712+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010026170_e20230010028543_c20230010029026.nc
[2023-03-03T20:04:21.712+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010031170_e20230010033543_c20230010034014.nc
[2023-03-03T20:04:21.713+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010036170_e20230010038543_c20230010039009.nc
[2023-03-03T20:04:21.713+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010041170_e20230010043543_c20230010044038.nc
[2023-03-03T20:04:21.714+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010046170_e20230010048543_c20230010049034.nc
[2023-03-03T20:04:21.714+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010051170_e20230010053543_c20230010054029.nc
[2023-03-03T20:04:21.715+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010056170_e20230010058543_c20230010059035.nc
[2023-03-03T20:04:21.716+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010001170_e20230010003550_c20230010004036.nc
[2023-03-03T20:04:21.716+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010006170_e20230010008549_c20230010008594.nc
[2023-03-03T20:04:21.716+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010011170_e20230010013550_c20230010014029.nc
[2023-03-03T20:04:21.717+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010016170_e20230010018549_c20230010019002.nc
[2023-03-03T20:04:21.717+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010021170_e20230010023549_c20230010024032.nc
[2023-03-03T20:04:21.718+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010026170_e20230010028551_c20230010028598.nc
[2023-03-03T20:04:21.718+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010031170_e20230010033550_c20230010034020.nc
[2023-03-03T20:04:21.719+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010036170_e20230010038549_c20230010039013.nc
[2023-03-03T20:04:21.720+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010041170_e20230010043549_c20230010044010.nc
[2023-03-03T20:04:21.720+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010046170_e20230010048550_c20230010049023.nc
[2023-03-03T20:04:21.720+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010051170_e20230010053551_c20230010053599.nc
[2023-03-03T20:04:21.721+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010056170_e20230010058549_c20230010059023.nc
[2023-03-03T20:04:21.722+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010001170_e20230010003556_c20230010003599.nc
[2023-03-03T20:04:21.723+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010006170_e20230010008555_c20230010008598.nc
[2023-03-03T20:04:21.723+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010011170_e20230010013557_c20230010014005.nc
[2023-03-03T20:04:21.723+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010016170_e20230010018555_c20230010019020.nc
[2023-03-03T20:04:21.724+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010021170_e20230010023556_c20230010023589.nc
[2023-03-03T20:04:21.724+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010026170_e20230010028557_c20230010029020.nc
[2023-03-03T20:04:21.725+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010031170_e20230010033556_c20230010033596.nc
[2023-03-03T20:04:21.725+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010036170_e20230010038554_c20230010039028.nc
[2023-03-03T20:04:21.725+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010041170_e20230010043555_c20230010044017.nc
[2023-03-03T20:04:21.726+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010046170_e20230010048555_c20230010049001.nc
[2023-03-03T20:04:21.726+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010051170_e20230010053557_c20230010054011.nc
[2023-03-03T20:04:21.726+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010056170_e20230010058555_c20230010059026.nc
[2023-03-03T20:04:21.727+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010001170_e20230010003543_c20230010004002.nc
[2023-03-03T20:04:21.727+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010006170_e20230010008543_c20230010009000.nc
[2023-03-03T20:04:21.728+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010011170_e20230010013543_c20230010014017.nc
[2023-03-03T20:04:21.728+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010016170_e20230010018543_c20230010018595.nc
[2023-03-03T20:04:21.728+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010021170_e20230010023543_c20230010024015.nc
[2023-03-03T20:04:21.729+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010026170_e20230010028543_c20230010029001.nc
[2023-03-03T20:04:21.729+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010031170_e20230010033543_c20230010033594.nc
[2023-03-03T20:04:21.729+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010036170_e20230010038543_c20230010038591.nc
[2023-03-03T20:04:21.730+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010041170_e20230010043543_c20230010043597.nc
[2023-03-03T20:04:21.730+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010046170_e20230010048543_c20230010048599.nc
[2023-03-03T20:04:21.730+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010051170_e20230010053543_c20230010053590.nc
[2023-03-03T20:04:21.731+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010056170_e20230010058543_c20230010059001.nc
[2023-03-03T20:04:21.731+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010001170_e20230010003550_c20230010004030.nc
[2023-03-03T20:04:21.732+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010006170_e20230010008550_c20230010009035.nc
[2023-03-03T20:04:21.732+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010011170_e20230010013549_c20230010014020.nc
[2023-03-03T20:04:21.732+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010016170_e20230010018549_c20230010019000.nc
[2023-03-03T20:04:21.733+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010021170_e20230010023549_c20230010023591.nc
[2023-03-03T20:04:21.733+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010026170_e20230010028549_c20230010029003.nc
[2023-03-03T20:04:21.733+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010031170_e20230010033550_c20230010033591.nc
[2023-03-03T20:04:21.734+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010036170_e20230010038550_c20230010038593.nc
[2023-03-03T20:04:21.734+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010041170_e20230010043549_c20230010044024.nc
[2023-03-03T20:04:21.734+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010046170_e20230010048551_c20230010049042.nc
[2023-03-03T20:04:21.735+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010051170_e20230010053549_c20230010053596.nc
[2023-03-03T20:04:21.735+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C12_G18_s20230010056170_e20230010058549_c20230010059012.nc
[2023-03-03T20:04:21.735+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010001170_e20230010003556_c20230010004012.nc
[2023-03-03T20:04:21.736+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010006170_e20230010008556_c20230010009001.nc
[2023-03-03T20:04:21.736+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010011170_e20230010013555_c20230010013596.nc
[2023-03-03T20:04:21.736+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010016170_e20230010018555_c20230010018598.nc
[2023-03-03T20:04:21.737+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010021170_e20230010023556_c20230010024021.nc
[2023-03-03T20:04:21.737+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010026170_e20230010028556_c20230010028595.nc
[2023-03-03T20:04:21.737+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010031170_e20230010033555_c20230010033598.nc
[2023-03-03T20:04:21.738+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010036170_e20230010038555_c20230010038599.nc
[2023-03-03T20:04:21.738+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010041170_e20230010043555_c20230010044005.nc
[2023-03-03T20:04:21.738+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010046170_e20230010048557_c20230010049004.nc
[2023-03-03T20:04:21.739+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010051170_e20230010053557_c20230010054005.nc
[2023-03-03T20:04:21.739+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C13_G18_s20230010056170_e20230010058559_c20230010059028.nc
