[2023-03-03T19:29:08.022+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010016170_e20230010018543_c20230010018593.nc
[2023-03-03T19:29:08.022+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010021170_e20230010023543_c20230010024009.nc
[2023-03-03T19:29:08.023+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010026170_e20230010028543_c20230010028585.nc
[2023-03-03T19:29:08.023+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010031170_e20230010033543_c20230010034024.nc
[2023-03-03T19:29:08.023+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010036170_e20230010038543_c20230010039001.nc
[2023-03-03T19:29:08.027+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010041170_e20230010043543_c20230010043587.nc
[2023-03-03T19:29:08.027+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010046170_e20230010048543_c20230010048585.nc
[2023-03-03T19:29:08.028+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010051170_e20230010053543_c20230010053593.nc
[2023-03-03T19:29:08.028+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C04_G18_s20230010056170_e20230010058543_c20230010058590.nc
[2023-03-03T19:29:08.029+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010001170_e20230010003545_c20230010004033.nc
[2023-03-03T19:29:08.029+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010006170_e20230010008546_c20230010009031.nc
[2023-03-03T19:29:08.029+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010011170_e20230010013544_c20230010014031.nc
[2023-03-03T19:29:08.030+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010016170_e20230010018544_c20230010019008.nc
[2023-03-03T19:29:08.030+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010021170_e20230010023545_c20230010024028.nc
[2023-03-03T19:29:08.031+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010026170_e20230010028548_c20230010029012.nc
[2023-03-03T19:29:08.031+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010031170_e20230010033545_c20230010034030.nc
[2023-03-03T19:29:08.032+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010036170_e20230010038547_c20230010039022.nc
[2023-03-03T19:29:08.032+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010041170_e20230010043544_c20230010044021.nc
[2023-03-03T19:29:08.033+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010046170_e20230010048547_c20230010049037.nc
[2023-03-03T19:29:08.033+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010051170_e20230010053546_c20230010054018.nc
[2023-03-03T19:29:08.033+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C05_G18_s20230010056170_e20230010058547_c20230010059020.nc
[2023-03-03T19:29:08.034+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010001170_e20230010003550_c20230010004042.nc
[2023-03-03T19:29:08.034+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010006170_e20230010008550_c20230010009025.nc
[2023-03-03T19:29:08.035+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010011170_e20230010013549_c20230010014038.nc
[2023-03-03T19:29:08.035+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010016170_e20230010018549_c20230010019029.nc
[2023-03-03T19:29:08.035+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010021170_e20230010023549_c20230010024030.nc
[2023-03-03T19:29:08.036+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C06_G18_s20230010026170_e20230010028549_c20230010028588.nc
